Name,Address,City,Region,Country
Cleveland Public Auditorium,500 Lakeside Avenue,Cleveland,Ohio,USA
Cleveland Public Music Hall,500 Lakeside Avenue,Cleveland,Ohio,USA
Cleveland Stadium,1085 W. Third Street,Cleveland,Ohio,USA
Cliff Bell's,2030 Park Avenue,Detroit,Michigan,USA
Clifton Taproom,399 Lexington Avenue,Clifton,New Jersey,USA
Clinton Recording Studios,653 Tenth Avenue,NYC,New York,USA
Clinton River Gazebo,,Mount Clemens,Michigan,USA
Clio Area Amphitheater,301 Rogers Lodge Drive,Clio,Michigan,USA
Clique Club,1678 Broadway,NYC,New York,USA
Clithroe Castle,Castle Street,Clithroe,Lancashire,England
Cloud 9,8534 Conant Street,Hamtramck,Michigan,USA
Clowes Hall,4602 Sunset Avenue,Indianapolis,Indiana,USA
Club 1040,1040 Wayne Street,Detroit,MI,USA
Club 12 Show Bar,8540 12th Street,Detroit,Michigan,USA
Club 1235,1235 Washington Avenue,Miami Beach,Florida,USA
Club 2000,2999 Woodbridge Street,Detroit,Michigan,USA
Club 421,,Philadelphia,PA,USA
Club 49,9217 E. Jefferson Avenue,Detroit,Michigan,USA
Club 509,509 Woodward Avenue,Detroit,Michigan,USA
Club 666,666 E. Adams Avenue,Detroit,Michigan,USA
Club 7,,Oslo,Østlandet,Norway
Club 770,227 N. Randall Avenue,Madison,Wisconsin,USA
Club 88,11784 W. Pico Boulevard,Los Angeles,California,USA
Club A-Go-Go,2000 Ludington Street,Escanaba,Michigan,USA
Club Above,215 N. Main Street,Ann Arbor,Michigan,USA
Club Alamo,20450 Livernois Avenue,Detroit,Michigan,USA
Club Bali,808 W. McNichols Road,Detroit,Michigan,USA
Club Baron,437 Lenox Avenue,Harlem,NY,USA
Club Bart,22726 Woodward Avenue,Ferndale,Michigan,USA
Club Basin Street,8101 W. Jefferson Avenue,Detroit,Michigan,USA
Club Bijou,135 S. Byrne Road,Toledo,Ohio,USA
Club Cafe,56 S. 12th Street,Pittsburgh,Pennsylvania,USA
Club Caribbean,15342 Livernois Avenue,Detroit,Michigan,USA
Club Cartier,8124 Fullerton Avenue,Detroit,Michigan,USA
Club Casanova,2481 Grand River Avenue,Detroit,Michigan,USA
Club Casino,169 Ocean Boulevard,Hampton Beach,New Hampshire,USA
Club Clearview,2806 Elm Street,Dallas,Texas,USA
Club Cliché,20030 John R Street,Highland Park,Michigan,USA
Club Con Brio,74 W. Columbia Street,Detroit,Michigan,USA
Club Congo,550 E. Adams,Detroit,Michigan,USA
Club de Ville,900 Red River Street,Austin,Texas,USA
Club de Wash,626 W. Washington Avenue,Madison,Wisconsin,USA
Club Deleisie,2406 E. Davison Street,Detroit,Michigan,USA
Club Detroit,16 Second Street N,St. Petersburg,Florida,USA
Club Dog Alley,George Street,Charleston,South Carolina,USA
Club Doo Bee,5965 Marsh Road,Haslett,Michigan,USA
Club Eastbrook,2525 Lake Eastbrook Boulevard SE,Grand Rapids,Michigan,USA
Club Ebony,9648 Wayne Avenue,Cincinnati,Ohio,USA
Club El Sino,1730 St. Antoine Street,Detroit,Michigan,USA
Club Empire,,Bay City,Michigan,USA
Club Exit,29461 John R,Madison Heights,Michigan,USA
Club Exodus,304 E. Sixth Street,Austin,Texas,USA
Club Fiesta,Norton Road,Stockton,County Durham,England
Club Foot,110 E. Fourth Street,Austin,Texas,USA
Club Gay Haven,15334 W. Warren Avenue,Dearborn,Michigan,USA
Club Harlem,281 E. Vernor Highway,Detroit,Michigan,USA
Club Heidelberg,215 N. Main Street,Ann Arbor,Michigan,USA
Club Hell,19106 Woodward Avenue,Detroit,Michigan,USA
Club Hillcrest,4557 W. Washington Boulevard,Los Angeles,California,USA
Club Hollywood,31 N. Walnut Street,Mount Clemens,Michigan,USA
Club Hollywood (ES),Vana-Posti 8,Tallinn,Harju,Estonia
Club House,1705 Cass Avenue,Detroit,Michigan,USA
Club Impress,11525 Whittier Avenue,Detroit,Michigan,USA
Club International,6060 Fort Street,Detroit,Michigan,USA
Club Juana,2725 Woodward Avenue,Detroit,Michigan,USA
Club La Boheme,2019 Broadway,NYC,New York,USA
Club Lafayette,1 Lafayette Street,Pontiac,Michigan,USA
Club Laga,3609 Forbes Avenue,Pittsburgh,Pennsylvania,USA
Club Le Vela,8813 Thomas Drive,Panama City,Florida,USA
Club Limberlost,130 Army Road,Leonard,Michigan,USA
Club Lingerie,6507 Sunset Boulevard,Hollywood,California,USA
Club Manhattan,14865 Wyoming Avenue,Detroit,Michigan,USA
Club Manufaktur Schorndorf,Hammerschlag 8,Stuttgart,Baden-Württemberg,Germany
Club Mardi Gras,19th & Vine,Kansas City,Missouri,USA
Club Maxine,75 E. Vernor Highway,Detroit,Michigan,USA
Club Mesa,843 W. 19th Street,Costa Mesa,California,USA
Club New York,515 N. Broadway,Milwaukee,Wisconsin,USA
Club Oasis,3801 S. Western Avenue,Los Angeles,California,USA
Club Owens,1730 St. Antoine Street,Detroit,Michigan,USA
Club Penta,3011 W. Grand Boulevard,Detroit,Michigan,USA
Club Plantation,550 E. Adams,Detroit,Michigan,USA
Club Ponytail,,Harbor Springs,Michigan,USA
Club Renaissance,8428 Sunset Boulevard,West Hollywood,California,USA
Club Rio,430 N. Scottsdale Road,Tempe,Arizona,USA
Club Riviera,4460 Delmar Boulevard,St. Louis,Missouri,USA
Club Roma,,Haslett,Michigan,USA
Club Rondevoo,4550 E. Seven Mile Road,Detroit,Michigan,USA
Club Royale,,Detroit,Michigan,USA
Club Ruby,175-02 Baisley Boulevard,NYC,New York,USA
Club San Diego,14840 Wyoming Avenue,Detroit,Michigan,USA
Club Sandwich,3055 Sandwich Street,Windsor,Ontario,Canada
Club Silhouette,1555 Howard Street,Chicago,Illinois,USA
Club Soda,340 E. Michigan Avenue,Kalamazoo,Michigan,USA
Club Spice,,Davison,Michigan,USA
Club Stadium,3222 Puritan Street,Detroit,Michigan,USA
Club Sudan,550 E. Adams Street,Detroit,Michigan,USA
Club Taboo,1940 Woodbridge Street,Detroit,Michigan,USA
Club Valley Ballroom,666 E. Adams Avenue,Detroit,Michigan,USA
Club Venus,1999 E. Joppa Road,Towson,Maryland,USA
Club Vogue,4042 Middlebelt Road,Inkster,Michigan,USA
Club Zombie,8825 Oakland Avenue,Detroit,Michigan,USA
Clubland,2115 Woodward Avenue,Detroit,Michigan,USA
Clutch Cargo's (D),64 W. Elizabeth Street,Detroit,Michigan,USA
Clutch Cargo's (P),65 E. Huron Street,Pontiac,Michigan,USA
CMU Rotunda Ballroom,Bovee University Center,Mount Pleasant,Michigan,USA
CNE Coliseum,100 Princes' Boulevard,Toronto,Ontario,Canada
Coach House,33157 Camino Capistrano,San Juan Capistrano,California,USA
Coach Lamp,18445 Livernois Avenue,Detroit,Michigan,USA
Coast Recorders,827 Folsom Street,San Francisco,California,USA
Coatham Bowl,Majuba Road,Redcar,North Yorkshire,England
Cobb's Corner,4201 Cass Avenue,Detroit,Michigan,USA
Cobo Arena,300 Civic Center Drive,Detroit,Michigan,USA
Cobo Hall,1 Washington Boulevard,Detroit,Michigan,USA
Cobo Joe's,422 W. Congress Street,Detroit,Michigan,USA
Cobra Club,Highway 43,Hastings,Michigan,USA
Coca-Cola Lakewood Amphitheatre,2002 Lakewood Avenue SE,Atlanta,Georgia,USA
Cocoanut Grove,3400 Wilshire Boulevard,Los Angeles,California,USA
Cocomo Club,13900 Michigan Avenue,Dearborn,Michigan,USA
Coconut Jos',225 Jos. Campau Avenue,Detroit,Michigan,USA
Cody High School,18445 Cathedral Street,Detroit,Michigan,USA
Col Ballroom,1012 W. Fourth Street,Davenport,Iowa,USA
Cole Field House,Campus Drive,College Park,Maryland,USA
Colisée Pepsi,250 Boulevard Wilfrid-Hamel,Quebec City,Quebec,Canada
College of Marin,835 College Avenue,Kentfield,California,USA
Collinsville Park Pavilion,,Collinsville,Illinois,USA
Colonial Hotel,234 S. Gratiot Avenue,Mount Clemens,Michigan,USA
Colonial Lanes,1950 S. Industrial Highway,Ann Arbor,Michigan,USA
Colonial Lounge,19170 Farmington Road,Livonia,Michigan,USA
Colonial Tavern,201 Yonge Street,Toronto,Ontario,Canada
Colonial Theater,2615 Woodward Avenue,Detroit,Michigan,USA
Colorado Springs City Auditorium,221 E. Kiowa Street,Colorado Springs,Colorado,USA
Colston Hall,Colston Street,Bristol,South West,England
Coltrane Home Studio,247 Candlewood Path,Dix Hills,New York,USA
Columbia 30th Street Studios,207 E. 30th Street,NYC,New York,USA
Columbia Armory Hall,229 Walnut Street,Columbia,Pennsylvania,USA
Columbia Music Hall,165 Dexter Avenue,West Hartford,Connecticut,USA
Columbia Recording Studio,6121 Sunset Boulevard,Los Angeles,California,USA
Columbia Studio A,799 Seventh Avenue,NYC,New York,USA
Columbia Studio B,49 E. 52nd Street,NYC,New York,USA
Columbia Studio E,49 E. 52nd Street,NYC,New York,USA
Columbus Crew Stadium,1 Columbus Crew Stadium,Columbus,Ohio,USA
Columbus Municipal Auditorium,400 Fourth Street,Columbus,Georgia,USA
Comblain-la-Tour Jazz Festival,,Comblain-la-Tour,Liège,Belgium
Comcast Center,885 S. Main Street,Mansfield,Massachusetts,USA
Comedy Club,1414 Pennsylvania Avenue,Baltimore,Maryland,USA
Comerford Theatre,71 Public Square,Wilkes-Barre,Pennsylvania,USA
Comerica Park,2100 Woodward Avenue,Detroit,Michigan,USA
Comerica Theatre,400 W. Washington Street,Phoenix,Arizona,USA
Commerzbank-Arena,Mörfelder Landstraße 362,Frankfurt,Hesse,Germany
Commodore,25 Chatham Street E,Windsor,Ontario,Canada
Commodore Ballroom,840 Granville Street,Vancouver,British Columbia,Canada
Commodore Suite,,Nottingham,East Midlands,England
Common Grill,112 S. Main Street,Chelsea,Michigan,USA
Commonwealth Stadium,11000 Stadium Road NW,Edmonton,Alberta,Canada
Compared To What?,13100 Woodward Avenue,Highland Park,Michigan,USA
Composite Hall,2054 Caniff Street,Hamtramck,Michigan,USA
Compton Terrace (I),5555 E. Van Buren Street,Phoenix,Arizona,USA
Compton Terrace (II),20000 Maricopa Road,Chandler,Arizona,USA
Compuware Arena,14900 Beck Road,Plymouth,Michigan,USA
Concept East,60 Harper Avenue,Detroit,Michigan,USA
Concertgebouw,Concertgebouwplein 10,Amsterdam,North Holland,Netherlands
Concord Boulevard Park,4202 Concord Boulevard,Concord,California,USA
Concord Pavilion,2000 Kirker Pass Road,Concord,California,USA
Concord Resort Hotel,,Kiamesha Lake,New York,USA
Concorde 2,286A Madeira Street,Brighton,East Sussex,England
Coney Island High,15 St. Marks Place,NYC,New York,USA
Coney Island USA,1208 Surf Avenue,Brooklyn,New York,USA
Congor Bar,11618 Conant Street,Detroit,Michigan,USA
Congress Centrum Hamburg,"Am Dammtor, Marseiller Straße",Hamburg,,Germany
Congress Hall,Plac Defilad 1,Warsaw,Masovian,Poland
Congress Theater,2135 N. Milwaukee Avenue,Chicago,Illinois,USA
Conor O'Neill's,318 S. Main Street,Ann Arbor,Michigan,USA
Conseco Fieldhouse,125 S. Pennsylvania Street,Indianapolis,Indiana,USA
Consol Energy Center,1001 Fifth Avenue,Pittsburgh,Pennsylvania,USA
Constitution Hall,1776 D Street NW,Washington,District of Columbia,USA
Constitution Park,,Sparta,Wisconsin,USA
Contemporary Art Institute of Detroit,5141 Rosa Parks Boulevard,Detroit,Michigan,USA
Contemporary Records Studio,Melrose Avenue,Hollywood,California,USA
Continental Airlines Arena,50 New Jersey Route 120,East Rutherford,New Jersey,USA
Continental Bar,25 Third Avenue,NYC,New York,USA
Continental Club,1315 S. Congress Avenue,Austin,Texas,USA
Continental Club,1658 12th Street,Oakland,California,USA
Contra Costa College,2600 Mission Bell Drive,San Pablo,California,USA
Convention Hall,4465 Woodward Avenue,Detroit,Michigan,USA
Cooks Hall,Visger Road,Ecorse,Michigan,USA
Cooper's Arms,306 Main Street,Rochester,Michigan,USA
Coors Amphitheatre,2050 Entertainment Circle,Chula Vista,California,USA
Coors Amphitheatre,6350 Greenwood Plaza Boulevard,Greenwood Village,Colorado,USA
Coors Light Amphitheatre,1000 Montage Mountain Road,Scranton,Pennsylvania,USA
Copa Club,818 Liberty Avenue,Pittsburgh,Pennsylvania,USA
Copacabana,10 E. 60th Street,NYC,New York,USA
Copps Coliseum,101 York Boulevard,Hamilton,Ontario,Canada
Coral Gables (B),2245 N. Woodward Avenue,Berkley,Michigan,USA
Coral Gables (EL),2838 E. Grand River Avenue,East Lansing,Michigan,USA
Coral Gables (K),,Kalamazoo,Michigan,USA
Coral Gables (S),220 Water Street,Saugatuck,Michigan,USA
Coral Sky Amphitheatre,601-7 Sansburys Way,West Palm Beach,Florida,USA
CoreStates Center,3601 S. Broad Street,Philadelphia,Pennsylvania,USA
Cork & Embers,520 W. Congress Street,Detroit,Michigan,USA
Cork N' Bib,146 Post Avenue,Westbury,New York,USA
Corktown Tavern (II),1716 Michigan Avenue,Detroit,Michigan,USA
Corner Hotel,57 Swan Street,Richmond,Victoria,Australia
Corner Saloon,7342 McGraw Avenue,Detroit,Michigan,USA
Corner Studios,,Cologne,North Rhine-Westphalia,Germany
Corning City Preserve,,Albany,New York,USA
Corning Community College,1 Academic Drive,Corning,New York,USA
Coronation Tavern,1521 Riverside Drive W,Windsor,Ontario,Canada
Corpus Christi Memorial Coliseum,402 S. Shoreline Boulevard,Corpus Christi,Texas,USA
Corradi's A.C.,1090 Rochester Road,Troy,Michigan,USA
Corson Auditorium,4000 Highway M-137,Interlochen,Michigan,USA
Cosmo's Entertainment Pavilion,3415 Middlebelt Road,Inkster,Michigan,USA
Cotati Cabaret,85 La Plaza,Cotati,California,USA
Cotillion Ballroom,11120 W. Kellogg Drive,Wichita,Kansas,USA
Cotton Bowl,1300 Robert B. Cullum Boulevard,Dallas,Texas,USA
Cotton Club,337 Visger Road,Ecorse,Michigan,USA
Cotton Club - Pori,,Pori,Satakunta,Finland
Council Club Hotel,,Preston,Victoria,Australia
Count Basie Theatre,99 Monmouth Street,Red Bank,New Jersey,USA
Count of Antipasto,1140 S. University Avenue,Ann Arbor,Michigan,USA
Counterpoint,3626 Woodward Avenue,Detroit,Michigan,USA
Country Carousel,Route 82,Stanfordville,New York,USA
Country Club of Detroit,220 Country Club Drive,Grosse Pointe Farms,Michigan,USA
Country Club of Jackson,3135 Horton Road,Jackson,Michigan,USA
Country Squire Back Stage,Route 83,Ellington,Connecticut,USA
Countryside Tavern,15217 Apollo Drive,Holly,Michigan,USA
Court Tavern,124 Church Street,New Brunswick,New Jersey,USA
Court Theatre,5535 S. Ellis Avenue,Chicago,Illinois,USA
Couzens Hall,1300 E. Ann Street,Ann Arbor,Michigan,USA
Coventry,47-03 Queens Boulevard,Sunnyside,New York,USA
Coventry Theatre,Hales Street,Coventry,West Midlands,England
Cow Palace,2600 Geneva Avenue,Daly City,California,USA
Cowley's Old Village Inn,33338 Grand River Avenue,Farmington,Michigan,USA
Cowtown Ballroom,3109 Gillham Road,Kansas City,Missouri,USA
Cox Convention Center,1 Myriad Gardens,Oklahoma City,Oklahoma,USA
Coyote Club,3813 N. Broadway Street,Wichita,Kansas,USA
Coyote Club,1 N. Saginaw Street,Pontiac,Michigan,USA
Cozy Corner,4100 Hastings Street,Detroit,Michigan,USA
Crabshaw Corners,2000 I Street,Sacramento,California,USA
Cranbrook,39221 Woodward Avenue,Bloomfield Hills,Michigan,USA
Crane Building,40 24th Street,Pittsburgh,Pennsylvania,USA
Crash Landing,26620 Dequindre Road,Warren,Michigan,USA
Crawdaddy's Cajun Café,1461 Middlebelt Road,Inkster,Michigan,USA
Crawford Grill,2141 Wylie Avenue,Pittsburgh,Pennsylvania,USA
Crazy Horse,5845 S. 12th Street,Portage,Michigan,USA
Credit Union Centre,3315 Thatcher Avenue,Saskatoon,Saskatchewan,Canada
Creelman Hall,Trent Lane,Guelph,Ontario,Canada
Creole Gallery,1218 Turner Road,Lansing,Michigan,USA
Crest Lounge,12707 Fullerton Avenue,Detroit,Michigan,USA
Crest Lounge,11902 Joseph Campau Street,Hamtramck,Michigan,USA
Crestwood High School,1501 N. Beech Daly Road,Dearborn Heights,Michigan,USA
Cricket Arena,2700 E. Independence Boulevard,Charlotte,North Carolina,USA
Cricket Pavilion,2121 N. 83rd Avenue,Phoenix,Arizona,USA
Cricket Wireless Amphitheater,633 N. 130th Street,Bonner Springs,Kansas,USA
Crisler Arena,333 E. Stadium Boulevard,Ann Arbor,Michigan,USA
Criteria Studios,1755 149th Street NE,Miami,Florida,USA
Croatian Hall,5259 E. Tecumseh Road,Windsor,Ontario,Canada
Crocodile Café,2200 Second Avenue,Seattle,Washington,USA
Crofoot Ballroom,1 S. Saginaw Street,Pontiac,Michigan,USA
Cromwells,,Norwich,East of England,England
Crooked Beat,3958 Cass Avenue,Detroit,Michigan,USA
Crosley Field,Findlay Street & Western Avenue,Cincinnati,Ohio,USA
Cross Street Station,511 W. Cross Street,Ypsilanti,Michigan,USA
Crossroads Club,303 Potrero Street,Santa Cruz,California,USA
Crossroads Restaurant,7030 W. Seven Mile Road,Detroit,Michigan,USA
Crossway Airport Inn,1850 NW LeJeune Road,Miami,Florida,USA
Crow Bar,309 S. Main Street,Ann Arbor,Michigan,USA
Crow's Nest,28003 John R Road,Madison Heights,Michigan,USA
Crow's Nest East,31059 Harper Avenue,St. Clair Shores,Michigan,USA
Crow's Nest West,8606 Haller Street,Westland,Michigan,USA
Crowbar,420 E. College Avenue,State College,Pennsylvania,USA
Crown Coliseum,1960 Coliseum Drive,Fayetteville,North Carolina,USA
Crown Propeller Lounge,868 E. 63rd Street,Chicago,Illinois,USA
Crowne Plaza Hotel,8000 Merriman Road,Romulus,Michigan,USA
Crystal Ballroom,1332 W. Burnside Street,Portland,Oregon,USA
Crystal Beach Ballroom,Buckeye Lake Park,Buckeye Lake,Ohio,USA
Crystal Gardens,16703 Fort Street,Southgate,Michigan,USA
Crystal Gardens (OH),,Vermilion,Ohio,USA
Crystal Lake Pavilion,,Crystal,Michigan,USA
Crystal Palace Ballroom,,Coloma,Michigan,USA
Crystal Show Bar,5612 Grand River Avenue,Detroit,Michigan,USA
CSU Convocation Center,2000 Prospect Avenue E,Cleveland,Ohio,USA
Cubby Bear,1059 W. Addison Street,Chicago,Illinois,USA
Cullen Performance Hall,4800 Calhoun Road,Houston,Texas,USA
Culture Room,3045 N. Federal Highway,Fort Lauderdale,Florida,USA
Cumberland County Civic Center,1 Civic Center Square,Portland,Maine,USA
Cumberland County Memorial Arena,Gillespie Street,Fayetteville,North Carolina,USA
Cunard Centre,961 Marginal Road,Halifax,Nova Scotia,Canada
Cup of Socrates,4415 Second Avenue,Detroit,Michigan,USA
Cupid's Den,31660 John R,Madison Heights,Michigan,USA
Curro's,821 N. Third Street,Milwaukee,Wisconsin,USA
Curtis Hixon Hall,600 N. Ashley Drive,Tampa,Florida,USA
Cypress Gardens,,Winter Haven,Florida,USA
Czar's,505 Pleasant Street,St. Joseph,Michigan,USA
D.C. Armory,2001 E. Capital Street SE,Washington,District of Columbia,USA
D.C. Space,Seventh & E Streets,Washington,District of Columbia,USA
Daddy's Dance Hall,9 Axeltorv,Copenhagen,,Denmark
Dakota,Bandana Square,St. Paul,Minnesota,USA
Dakota Inn Rathskeller,17324 John R Street,Detroit,Michigan,USA
Dallas Convention Center,650 S. Griffin Street,Dallas,Texas,USA
Dallas Memorial Auditorium,650 S. Griffin Street,Dallas,Texas,USA
Dallas Music Complex,800 Cadiz Street,Dallas,Texas,USA
Dally in the Alley,Forest & Hancock,Detroit,Michigan,USA
Dalton Farms,3800 Dalton Road,Leoni Township,Michigan,USA
Dalton Theatre,1200 Academy Street,Kalamazoo,Michigan,USA
Dance Paradise Ballroom,664 E. Adams Street,Detroit,Michigan,USA
Danceland Ballroom,245 Haltiner Street,River Rouge,Michigan,USA
Danceteria,Ford Road,Dearborn Heights,Michigan,USA
Dane County Coliseum,1919 Alliant Energy Center Way,Madison,Wisconsin,USA
Daniel's Den,2525 State Street,Saginaw,Michigan,USA
Danny's,345 W. 46th Street,NYC,New York,USA
Danny's Bar & Grill,225 Jos. Campau Avenue,Detroit,Michigan,USA
Danny's Canadian Tavern,1271 Riverside Drive E,Windsor,Ontario,Canada
Dante's,1 SW Third Street,Portland,Oregon,USA
Danto's Lounge,12344 E. Eight Mile Road,Detroit,Michigan,USA
Darien Lake Performing Arts Center,9993 Alleghany Road,Darien Center,New York,USA
Dark Horse Brewing Company,511 S. Kalamazoo Avenue,Marshall,Michigan,USA
DAV,1360 E. Jefferson Avenue,Detroit,Michigan,USA
Davenport Theatre,Buxton Road,Stockport,Cheshire,England
David Whitney Building,1550 Woodward Avenue,Detroit,Michigan,USA
Dawson Auditorium,110 S. Madison Street,Adrian,Michigan,USA
Dayton Convention Center,22 E. Fifth Street,Dayton,Ohio,USA
Dayton Memorial Hall,125 E. First Street,Dayton,Ohio,USA
Daytona's,110 N. Rochester Road,Clawson,Michigan,USA
db's,600 Town Center Drive,Dearborn,Michigan,USA
DCU Center,50 Foster Street,Worcester,Massachusetts,USA
de Doelen,Schouwburgplein 50,Rotterdam,South Holland,The Netherlands
De Meervaart Amsterdam,Meer en Vaart 300,Amsterdam,,The Netherlands
De Montfort Hall,Granville Road,Leicester,East Midlands,England
Deaf Club,Valencia Street,San Francisco,California,USA
Dean E. Smith Center,300 Skipper Bowles Drive,Chapel Hill,North Carolina,USA
Dearborn Hyatt Regency,600 Town Center Drive,Dearborn,Michigan,USA
Dearborn Towne House,2101 S. Telegraph Road,Dearborn,Michigan,USA
Dearborn Youth Center,Michigan Avenue @ Greenfield,Dearborn,Michigan,USA
Debbie's Den,Schoenherr Road,Sterling Heights,Michigan,USA
Decade,223 Atwood Street,Pittsburgh,Pennsylvania,USA
Decatur Armory,Ocean Trail,Decatur,Illinois,USA
Decca Studios (NYC),50 W. 57th Street,NYC,New York,USA
Decca Studios (UK),165 Broadhurst Gardens,London,West Hampstead,England
Deejay's,Renaissance Center,Detroit,Michigan,USA
Deep Ellum Live,2727 Canton Street,Dallas,Texas,USA
Deer Creek Music Center,12880 E. 146th Street,Noblesville,Indiana,USA
Deer Hunt Inn,20222 John R Street,Detroit,Michigan,USA
Deer Lake Park,5435 Sperling Avenue,Burnaby,British Columbia,Canada
Del Mar Fairgrounds,2260 Jimmy Durante Boulevard,Del Mar,California,USA
Delaware County Fairgrounds,1210 Wheeling Avenue,Muncie,Indiana,USA
Delta Chi,Douglas Street,Mount Pleasant,Michigan,USA
Delta College,,University Center,Michigan,USA
Delta Lady,22628 Woodward Avenue,Ferndale,Michigan,USA
Delta Sigma Phi,Hill Street,Ann Arbor,Michigan,USA
Deltaplex Arena,2500 Turner Avenue NW,Grand Rapids,Michigan,USA
Democrat Club Hall,23400 Wick Road,Taylor,Michigan,USA
Dempsey's Place,3000 E. Jefferson Avenue,Detroit,Michigan,USA
Denby High School,12800 Kelly Road,Detroit,Michigan,USA
Denen Coliseum,,Ōta,Tokyo,Japan
Denman Auditorium,Denman Street,Vancouver,British Columbia,Canada
Denver Auditorium Arena,1323 Champa Street,Denver,Colorado,USA
Denver Coliseum,4600 Humboldt Street,Denver,Colorado,USA
DePauw University,408 S. Locust Street,Greencastle,Indiana,USA
Depot House,416 S. Ashley Street,Ann Arbor,Michigan,USA
Depot Town,,Ypsilanti,Michigan,USA
Dequindre Park,Dequindre Street,Detroit,Michigan,USA
DeRoy Auditorium,5203 Cass Avenue,Detroit,Michigan,USA
Des Moines Ice Arena,7201 Hickman Road,Des Moines,Iowa,USA
Desert Sky Pavillion,2121 N. 83rd Avenue,Phoenix,Arizona,USA
Det Ny Theater,Gammel Kongevej 29,Copenhagen,,Denmark
Detroit Art Space,101 E. Baltimore Street,Detroit,Michigan,USA
Detroit Artist Market,1452 Randolph Street,Detroit,Michigan,USA
Detroit Artists' Workshop,4857 John Lodge,Detroit,Michigan,USA
Detroit Athletic Club,241 Madison Avenue,Detroit,Michigan,USA
Detroit Castle,Chene Street,Detroit,Michigan,USA
Detroit Festival of the Arts Main Stage,,Detroit,Michigan,USA
Detroit Historical Museum,5401 Woodward Avenue,Detroit,Michigan,USA
Detroit Institute of Arts,5200 Woodward Avenue,Detroit,Michigan,USA
Detroit International Institute,111 E. Kirby Street,Detroit,Michigan,USA
Detroit Jazz Center,2110 Park Avenue,Detroit,Michigan,USA
Detroit Jazz Center YMCA,13130 Woodward Avenue,Highland Park,Michigan,USA
Detroit Music Hall,350 Madison Avenue,Detroit,Michigan,USA
Detroit Naval Armory,7600 East Jefferson Avenue,Detroit,Michigan,USA
Detroit Opera House,1526 Broadway Avenue,Detroit,Michigan,USA
Detroit Pub,33401 Harper Avenue,Clinton Township,Michigan,USA
Detroit Public Library,5201 Woodward Avenue,Detroit,Michigan,USA
Detroit Race Course,Schoolcraft & Middlebelt,Livonia,Michigan,USA
Detroit Science Center,5020 John R Street,Detroit,Michigan,USA
Detroit Yacht Club,1 Riverbank Drive,Detroit,Michigan,USA
Detroit Zoo,8450 W. 10 Mile Road,Royal Oak,Michigan,USA
Detroiter Bar,655 Beaubien Street,Detroit,Michigan,USA
Deutsches Museum Kongress-Saal,Museumsinsel 1,Munich,Bavaria,Germany
Devaney Center,1600 Court Street,Lincoln,Nebraska,USA
Devil's Den,18800 W. McNichols Road,Detroit,Michigan,USA
Devil's Lake Pavilion,1235 Elm Street,Manitou Beach,Michigan,USA
Devilhouse,430 N. Scottsdale Road,Tempe,Arizona,USA
Devine's Million Dollar Ballroom,2401 W. Wisconsin Avenue,Milwaukee,Wisconsin,USA
Devizes Corn Exchange,,Devizes,South West England,England
DeVos Hall,303 Monroe Avenue NW,Grand Rapids,Michigan,USA
Dewey's,437 W. Gilman Street,Madison,Wisconsin,USA
Diamond J's Pizza,33201 Diamond J's Pizza,Livonia,Michigan,USA
Diamonds & Spurs,25 S. Saginaw Street,Pontiac,Michigan,USA
Diana Oughton Memorial Park,,Ann Arbor,Michigan,USA
Dick O'Dow's,160 W. Maple Road,Birmingham,Michigan,USA
Diesel,11425 Jos Campau Street,Hamtramck,Michigan,USA
Diesel Concert Lounge,33151 23 Mile Road,New Baltimore,Michigan,USA
Dillon Stadium,,Hartford,Connecticut,USA
Dimich Hall,,Detroit,Michigan,USA
Dimitri's Supper Club,25080 Southfield Road,Southfield,Michigan,USA
Dimnent Memorial Chapel,277 College Avenue,Holland,Michigan,USA
Dingbatz,620 Van Houton Avenue,Clifton,New Jersey,USA
Dingell Park,W. Jefferson Avenue,Ecorse,Michigan,USA
Dingo Bar,313 Gold Avenue SW,Albuquerque,New Mexico,USA
Dingwalls,Chalk Farm Road,London,Camden,England
Dinkelspiel Auditorium,471 Lagunita Drive,Stanford,California,USA
Dinner Key Auditorium,2700 S. Bayshore Drive,Miami,Florida,USA
Dinwoodie Lounge,8900 114 Street NW,Edmonton,Alberta,Canada
Dionysus,135 W. Lorain Street,Oberlin,Ohio,USA
Dirty Dog Bar,505 E. Sixth Street,Austin,Texas,USA
Dirty Dog Jazz Café,97 Kercheval Avenue,Grosse Pointe Farms,Michigan,USA
Dirty Helen's,1703 Cass Avenue,Detroit,Michigan,USA
Discafe,18 N. Saginaw Street,Pontiac,Michigan,USA
Discount Records,225 Ann Street,East Lansing,Michigan,USA
Discount Records,401 E. Grand River Avenue,East Lansing,Michigan,USA
Disneyland,1313 Disneyland Drive,Anaheim,California,USA
District Bar & Grill,301 W. Sixth Street,Austin,Texas,USA
Division Avenue Arts Collective,115 S. Division,Grand Rapids,Michigan,USA
Divonne-les-Bains Casino,,Divonne-les-Bains,Rhône-Alpes,France
Dixon-Myers Hall,255 N. Main Street,Memphis,Tennessee,USA
DIY Street Fair,9 Mile & Woodward,Ferndale,Michigan,USA
Doak Campbell Stadium,403 Stadium Drive West,Tallahassee,Florida,USA
